episode,time,mean_reward,max_reward,min_reward,min_cost,min_index,converged,timestep_final,consumption,generation,loads,losses,actor_losses,critic_losses
79,0,0.0017037606,0.011666914,-0.023232827,887.0391595116791,92,0,124,192.703059889776,192.7030598829295,65.0-31.0-68.0-55.00000000000001-30.0,0.14601855,6.813804e-05,0.294778
80,0,-0.014443427,0.011675771,-2.0,895.052555398067,107,0,117,192.6035944302209,192.60359442453938,55.00000000000001-28.000000000000004-79.0-74.0-36.0,-0.025747513,-0.10103837,0.15349142
81,0,-0.013756736,0.011126192,-2.0,859.295048362998,68,0,69,193.40681972156864,193.40681971414273,39.0-26.0-74.0-46.0-25.0,-0.35589176,-0.43621078,0.16344409
82,0,0.0019677,0.011754961,-0.023047607,856.8877873207408,79,0,124,193.02167189910244,193.02167189118052,60.0-26.0-57.99999999999999-55.00000000000001-28.000000000000004,0.045499083,0.01954811,0.054690704
83,0,-0.013597683,0.011834322,-2.0,838.6132458570156,83,0,95,193.04646419275198,193.04646418540236,57.99999999999999-22.0-70.0-52.0-33.0,0.0022774413,-0.060710076,0.1287461
84,0,0.0014096156,0.011761054,-0.028054027,910.6386645514247,40,0,124,194.27613219018028,194.27613217789093,47.0-25.0-36.0-34.0-23.0,0.031263027,0.01470082,0.035850395
85,0,-0.045953706,0.011834322,-1.0,861.7521886639958,112,0,124,192.53329728835533,192.5332972811963,100.0-28.000000000000004-66.0-52.0-31.0,0.3154932,0.044109907,0.5453743
86,0,0.0030399945,0.0118785035,-0.016322631,802.1693406077617,125,0,124,0,0,0,0.034897376,0.01202728,0.04844437
87,0,-0.062165845,0.011834322,-1.0,863.3056686297773,90,0,124,192.83154326811282,192.8315432592688,87.0-28.000000000000004-46.0-55.00000000000001-30.0,0.5355496,0.01609211,1.0415992
88,0,0.0028020919,0.0118785035,-0.01803724,803.0090714833195,90,0,124,192.90721273318425,192.9072127251746,71.0-22.0-55.00000000000001-70.0-28.000000000000004,0.061393354,0.032268208,0.06092263
89,0,0.0019710946,0.011716994,-0.023236226,819.4904672455415,91,0,124,192.81366226763944,192.81366225943628,82.0-26.0-56.99999999999999-55.00000000000001-26.0,0.062336966,0.048616163,0.030078266
90,0,-0.013696617,0.0118785035,-2.0,826.3087327690611,104,0,122,192.59529087952367,192.59529087184802,86.0-30.0-52.0-78.0-23.0,0.076045595,0.025375228,0.10394611
91,0,-0.09293724,0.011776925,-1.0,800.2271878345217,112,0,124,192.63591973819376,192.6359197304863,100.0-26.0-65.0-56.99999999999999-25.0,0.8005992,-0.0038675466,1.6115581
92,0,-0.053963087,0.0118785035,-2.0,844.4109834912966,70,0,124,193.2943413748009,193.29434136533177,71.0-25.0-54.0-36.0-28.000000000000004,0.40757477,0.03095264,0.7558218
93,0,-0.05368334,0.0118785035,-1.0,833.0708625090864,94,0,124,192.77566591651527,192.77566590821442,84.0-25.0-50.0-63.0-30.0,0.41845652,-0.001418429,0.8423646
94,0,-0.07728616,0.011465069,-1.0,798.7166341055691,107,0,124,192.65379424881513,192.65379424072376,100.0-26.0-56.99999999999999-62.0-23.0,0.6036772,0.014762261,1.1804659
95,0,0.0015416396,0.0118785035,-0.026394436,880.0964499049742,72,0,124,193.19671024516987,193.19671023530464,71.0-30.0-39.0-52.0-25.0,0.059347358,0.008382378,0.10458277
96,0,-0.03763608,0.0118785035,-1.0,826.1026567371595,95,0,124,192.76306415459982,192.76306414641655,87.0-25.0-55.00000000000001-56.99999999999999-30.0,0.21535327,0.028855992,0.3755497
97,0,0.0028573512,0.011552783,-0.020032452,778.455480027207,113,0,124,192.6870666718314,192.68706666486173,94.0-22.0-74.0-63.0-30.0,0.04240655,0.0062679756,0.0748346
98,0,-0.013046358,0.011602638,-2.0,793.5200032745529,95,0,105,192.81839221851737,192.8183922108494,84.0-26.0-70.0-49.0-25.0,-0.06634776,-0.11283519,0.095592074
99,0,-0.06193235,0.011799097,-1.0,844.6872237561224,89,0,124,192.8498329056055,192.84983289699198,89.0-30.0-55.00000000000001-44.0-26.0,0.46467313,0.02617764,0.8796286
100,0,-0.013104036,0.011339954,-1.0,801.3749765874003,121,0,124,192.5121880943237,192.51218808725466,100.0-25.0-65.0-76.0-26.0,0.06319365,-0.0043010605,0.13774419
101,0,-0.013082885,0.0118785035,-2.0,809.010883660506,86,0,123,192.995719311215,192.99571930229905,78.0-23.0-47.0-65.0-26.0,0.0399657,-0.003791955,0.09024722
102,0,-0.0622553,0.0118785035,-1.0,847.568465380709,81,0,124,193.0313637105482,193.0313637010359,84.0-28.000000000000004-46.0-47.0-26.0,0.5191176,0.017858695,1.0053052
103,0,0.0011857072,0.0118785035,-0.024637869,894.4243799776206,70,0,124,193.2530845870504,193.2530845777307,62.0-26.0-42.0-54.0-30.0,0.048174553,0.025017703,0.04903983
