episode,mean_reward,max_reward,min_reward,min_cost,min_index,converged,timestep_final,consumption,generation,loads,losses,actor_losses,critic_losses
78,0.0024751194,0.011593808,-0.023591919,803.9211478018354,103,0,124,192.63159228103288,192.63159227390875,78.0-28.000000000000004-63.0-74.0-23.0,0.005054603,-0.006287226,0.025267947
79,0.0034775687,0.011666914,-0.016587075,754.4561303058126,119,0,124,192.64674789742065,192.6467478909234,89.0-23.0-79.0-76.0-25.0,0.023641726,0.015921773,0.017956046
80,-0.012799452,0.0118785035,-2.0,762.4011331271914,92,0,117,192.8959899498551,192.89598994193813,81.0-26.0-68.0-54.0-20.0,0.062450606,-0.00022515854,0.12784544
81,-0.04482927,0.011799097,-1.0,769.1799698438459,109,0,124,192.67159852137385,192.67159851367265,95.0-23.0-60.0-73.0-25.0,0.31802577,0.0034865935,0.6315348
82,-0.013043853,0.011716994,-1.0,801.7971866561328,107,0,124,192.6196236311131,192.61962362380763,90.0-26.0-65.0-65.0-26.0,0.053306572,-0.0034406905,0.11596589
83,-0.012940223,0.011552783,-2.0,786.4083429363986,111,0,112,192.58696452686448,192.58696451989985,82.0-28.000000000000004-63.0-84.0-22.0,0.097520895,0.036718093,0.12409855
84,-0.013097536,0.0118785035,-2.0,797.9618588063294,115,0,124,192.53184216570344,192.53184215862237,90.0-26.0-60.0-84.0-25.0,0.07247744,0.018830527,0.10977005
85,-0.004975946,0.0118785035,-1.0,797.3338905260761,113,0,124,192.63670226479488,192.6367022570278,100.0-20.0-54.0-79.0-30.0,0.041916527,0.021678606,0.04295568
86,-0.012805806,0.0117109,-2.0,789.229263305166,106,0,106,192.65346450328363,192.65346449647467,73.0-26.0-66.0-84.0-22.0,0.094584204,0.035990544,0.1196698
87,-0.013622448,0.011799097,-2.0,857.759487878067,99,0,99,192.72449648325636,192.72449647564576,70.0-30.0-46.0-92.0-23.0,0.098923825,0.037135843,0.12618308
88,0.0017315033,0.011799097,-0.025459796,887.9651326662628,77,0,124,193.0363461169215,193.03634610828607,63.0-30.0-46.0-60.0-26.0,0.01027383,0.003568081,0.016112298
89,-0.014220062,0.0118785035,-2.0,907.9093528499156,111,0,111,192.45594849362166,192.4559484872303,70.0-30.0-57.99999999999999-89.0-33.0,0.13351707,0.06958323,0.13054894
90,-0.013213669,0.011799097,-2.0,821.1227048697177,82,0,92,193.14758446866412,193.1475844618219,41.0-26.0-73.0-71.0-22.0,0.12310783,0.053821485,0.14136939
91,-0.014047337,0.011799097,-2.0,876.8237238181121,99,0,105,192.78136754393964,192.78136753790767,47.0-25.0-73.0-81.0-34.0,0.031009892,-0.021091696,0.106972
92,-0.0150997,0.0118785035,-2.0,882.5721098062835,44,0,118,194.1549174214858,194.15491741063266,38.0-23.0-42.0-49.0-20.0,0.08917417,0.03182587,0.11743076
93,-0.013222117,0.011631756,-2.0,824.1649302182152,80,0,80,193.28565850004617,193.2856584921234,44.0-22.0-52.0-90.0-22.0,0.17272264,0.088109195,0.17187901
94,-0.014405849,0.011631756,-2.0,884.3257267178805,63,0,102,193.4884678102343,193.4884678012302,44.0-26.0-46.0-63.0-23.0,0.047762807,-0.004282991,0.10678051
95,-0.013791756,0.0118785035,-2.0,843.6507841038149,93,0,99,192.87064893079497,192.87064892380124,54.0-26.0-57.99999999999999-86.0-26.0,0.072123766,0.010573767,0.12575544
96,-0.0137649225,0.0118785035,-2.0,869.7155451338715,84,0,84,193.08019777194338,193.08019776414267,49.0-28.000000000000004-47.0-90.0-22.0,0.09766186,0.03360685,0.13069539
97,-0.014050748,0.0118785035,-2.0,850.63818559321,66,0,102,193.45910996070006,193.45910995147148,49.0-26.0-44.0-68.0-20.0,0.017345691,-0.03166221,0.10065997
98,-0.014010313,0.011652724,-2.0,890.3079588836874,99,0,99,192.66144195089032,192.66144194346546,68.0-33.0-46.0-90.0-23.0,0.07283429,0.014521924,0.11938876
99,-0.0139259705,0.011761054,-2.0,876.7492437030984,80,0,105,193.05844495974188,193.05844495259294,44.0-26.0-62.0-70.0-28.000000000000004,0.2035368,0.11231804,0.18530576
100,-0.01507412,0.011834322,-2.0,908.3076704196649,63,0,89,193.50597264955738,193.50597264126833,34.0-28.000000000000004-50.0-66.0-23.0,0.14853792,0.07426784,0.15143967
101,-0.014447961,0.011482302,-2.0,922.2217270605158,81,0,100,193.06129577811242,193.061295771014,41.0-25.0-55.00000000000001-76.0-34.0,0.28998736,0.17551023,0.23186065
102,-0.015062316,0.011637747,-2.0,931.252697406379,40,0,115,194.2721505456645,194.27215053507138,30.0-25.0-42.0-47.0-22.0,0.05847783,0.0069201803,0.10615672
103,-0.0006957182,0.011834322,-0.02885461,986.8043667547329,44,0,124,194.1102682365982,194.1102682263243,33.0-23.0-39.0-44.0-33.0,0.004104384,-0.0005127482,0.012281936
104,-0.015257982,0.010579654,-2.0,925.5729229400329,67,0,119,193.34203745667364,193.34203744885298,39.0-25.0-56.99999999999999-55.00000000000001-33.0,0.05571504,0.00056234736,0.113261156
105,-0.0017316425,0.011761054,-0.032358367,989.4808756136712,43,0,124,194.06968555005656,194.06968553906992,39.0-31.0-34.0-41.0-25.0,-0.0057255346,-0.009092925,0.009567944
106,-0.013873217,0.0118785035,-2.0,837.7646242616677,94,0,106,192.78004469464153,192.78004468769058,57.99999999999999-30.0-62.0-79.0-23.0,0.068956494,0.016407473,0.10773978
107,-0.012823583,0.011799097,-2.0,790.7211611976268,98,0,98,192.82476335351896,192.8247633464133,63.0-23.0-62.0-87.0-23.0,0.09039856,0.028658519,0.12612565
108,-0.013922203,0.011761054,-2.0,835.6958775822626,92,0,123,192.77806574396575,192.77806573662065,68.0-26.0-62.0-65.0-28.000000000000004,0.057605322,0.004844297,0.10822961
109,0.0022307436,0.01180519,-0.023280933,823.6288898601547,114,0,124,192.47463723135152,192.47463722439792,92.0-31.0-63.0-74.0-23.0,0.029354667,0.025046973,0.011301158
110,-0.012435028,0.011675771,-2.0,736.4190366787983,92,0,116,192.95553043926225,192.95553043102234,78.0-22.0-60.0-70.0-20.0,0.08017325,0.02181221,0.11932084
111,-0.012925523,0.011754961,-2.0,788.9348701962114,109,0,113,192.6464822341307,192.64648222666307,86.0-23.0-55.00000000000001-86.0-26.0,0.054391388,-8.286585e-05,0.11156413
112,0.0026117284,0.011552783,-0.021612076,804.7091972372697,86,0,124,192.95188552080992,192.95188551249817,73.0-23.0-55.00000000000001-62.0-26.0,0.021266447,0.017738806,0.009610271
113,-0.012650785,0.011799097,-2.0,767.8046835916575,97,0,101,192.84807190142766,192.84807189430313,73.0-25.0-74.0-62.0-23.0,0.10665639,0.04777722,0.12023801
114,0.002308681,0.0118785035,-0.01752134,792.5297811959662,82,0,124,193.14392194486175,193.14392193663588,57.99999999999999-20.0-54.0-76.0-25.0,0.032397926,0.028774591,0.009757246
115,-0.012360287,0.0118785035,-2.0,751.842718444273,107,0,107,192.75357675780253,192.75357675037878,81.0-20.0-60.0-89.0-23.0,0.050792262,-0.0053427047,0.11484109
116,0.0024831172,0.011662524,-0.017590882,815.0986670135966,93,0,124,192.87793509905202,192.87793509037954,82.0-23.0-46.0-71.0-28.000000000000004,0.010085183,0.0067813,0.009107257
117,-0.052592807,0.0118785035,-1.0,741.6515087671885,99,0,124,192.85895324893997,192.8589532402522,95.0-20.0-55.00000000000001-66.0-23.0,0.3532653,0.010435769,0.68808746
118,-0.10104093,0.0118785035,-1.0,793.0088101965413,97,0,124,192.83915413939346,192.83915413042732,97.0-22.0-49.0-62.0-28.000000000000004,0.9151866,0.013452598,1.8060046
119,-0.013090483,0.011799097,-1.0,778.8460746103934,94,0,124,192.85498910418855,192.85498909590652,84.0-23.0-56.99999999999999-63.0-25.0,0.083640486,0.024229737,0.12141357
120,-0.013394325,0.0118785035,-2.0,822.1425363164971,95,0,115,192.83616871605332,192.83616870747267,81.0-26.0-42.0-79.0-25.0,0.03705038,-0.008998716,0.09463538
121,-0.061424807,0.011799097,-1.0,809.423917935799,93,0,124,192.86411880980785,192.86411880078256,92.0-25.0-47.0-60.0-26.0,0.554779,-0.0030039628,1.1181594
122,0.002290132,0.011675771,-0.021463353,839.112311688878,100,0,124,192.6613192338388,192.66131922644848,78.0-26.0-56.99999999999999-71.0-30.0,0.02843212,0.0039111017,0.051750228
123,0.0018364056,0.011834322,-0.025106564,865.7060646823567,100,0,124,192.55712566480625,192.55712565754823,79.0-33.0-57.99999999999999-66.0-25.0,0.031104859,0.021841478,0.02122346
124,-0.04462497,0.011583507,-1.0,764.8354765774164,110,0,124,192.6945061110861,192.6945061033031,100.0-22.0-65.0-65.0-25.0,0.2446008,0.004098117,0.4836312
125,-0.012599878,0.011754961,-2.0,771.9485463681158,85,0,85,193.0976660310907,193.0976660227662,81.0-23.0-73.0-38.0-23.0,0.04755367,-0.02172417,0.14118102
126,-0.0061675804,0.0118785035,-1.0,819.1809209236815,85,0,124,193.01277029962156,193.01277029162443,71.0-22.0-63.0-50.0-31.0,0.054002676,0.03065025,0.049339414
127,-0.013664407,0.0118785035,-2.0,827.0517057628152,88,0,110,192.90813810385046,192.90813809646704,68.0-25.0-70.0-50.0-30.0,0.065875836,0.015573803,0.10330414
128,-0.0066703185,0.0118785035,-1.0,862.5289968537471,67,0,124,193.34639346074408,193.34639345126806,63.0-25.0-49.0-44.0-28.000000000000004,0.0034787874,-0.014361182,0.038518716
129,-0.0146173695,0.011834322,-2.0,878.6271961088136,85,0,122,192.88035709528262,192.88035708794484,62.0-28.000000000000004-63.0-54.0-31.0,0.054293238,0.0072547207,0.09687868
130,-0.013976257,0.0118785035,-2.0,859.5146737950583,74,0,102,193.14650650297116,193.14650649487785,57.99999999999999-28.000000000000004-62.0-46.0-26.0,0.084255695,0.027413607,0.11640993
131,-0.012808611,0.0118785035,-2.0,789.4647022912001,83,0,83,193.095821249319,193.09582124128093,73.0-23.0-73.0-41.0-25.0,0.14716491,0.07875239,0.13948296
132,-0.014268939,0.0118785035,-1.0,849.4670548849787,51,0,124,193.97490650011494,193.9749064876582,62.0-22.0-33.0-44.0-23.0,0.041204084,-0.009266949,0.1036048
133,-0.013666665,0.01172585,-2.0,842.7978073697585,91,0,116,192.8340045664405,192.8340045597451,55.00000000000001-28.000000000000004-71.0-66.0-26.0,0.062453818,0.007919571,0.111741155
134,-0.014697121,0.0118785035,-1.0,837.2085275923773,76,0,124,193.14146110197794,193.14146109230416,76.0-26.0-44.0-52.0-25.0,0.046539668,-0.0054300944,0.106655285
135,0.0028796485,0.0118785035,-0.02068068,788.7306608177367,117,0,124,192.55545052803222,192.55545052110605,92.0-23.0-65.0-82.0-26.0,0.0064625205,0.0024211546,0.010749622
136,0.002601415,0.0118785035,-0.018492488,838.4763638875984,122,0,124,192.49810113043412,192.49810112450714,87.0-28.000000000000004-82.0-70.0-30.0,0.019467704,0.017926307,0.0055743395
137,-0.03703606,0.0118785035,-1.0,785.347152437789,93,0,124,192.8736115728107,192.87361156467722,84.0-23.0-62.0-55.00000000000001-26.0,0.24357197,0.01718936,0.45527667
138,-0.013074544,0.01172585,-2.0,792.1085586770672,82,0,92,193.0979807491302,193.09798074086444,74.0-23.0-68.0-41.0-26.0,0.10239411,0.036577906,0.13408099
139,-0.012676288,0.011631756,-2.0,778.360649442753,93,0,93,192.91655502785386,192.91655502041783,76.0-23.0-76.0-50.0-25.0,0.08112789,0.019287461,0.12617435
140,-0.012570225,0.011799097,-2.0,763.735247810215,102,0,116,192.7697219246985,192.76972191713855,90.0-25.0-71.0-55.00000000000001-23.0,0.063535996,0.015851645,0.09790804
141,-0.012515425,0.0118785035,-2.0,764.8614721975295,115,0,115,192.61382987560017,192.61382986877317,86.0-23.0-70.0-84.0-23.0,0.03928691,-0.010773274,0.10269072
142,-0.02142197,0.011799097,-1.0,815.1608064328434,109,0,124,192.54894280649307,192.548942799077,90.0-30.0-56.99999999999999-76.0-23.0,0.13175546,0.023464631,0.21923226
143,0.0020686607,0.011790214,-0.024940118,854.7337101090045,87,0,124,192.82680716811967,192.82680716011475,70.0-31.0-52.0-65.0-23.0,-0.006063646,-0.009363696,0.009151056
144,-0.021475945,0.011675771,-2.0,818.4040223116266,111,0,124,192.52026088101562,192.5202608734941,98.0-30.0-56.99999999999999-73.0-22.0,0.11712498,0.009104895,0.21850131
145,-0.012626354,0.011799097,-2.0,774.1702789653137,86,0,86,193.04210233118658,193.04210232304143,79.0-25.0-73.0-41.0-22.0,0.13465847,0.06835932,0.13508126
146,-0.013243162,0.011754961,-2.0,825.9309626479336,106,0,106,192.66781152175605,192.667811515649,60.0-28.000000000000004-76.0-82.0-25.0,0.072120145,0.012214502,0.12241838
147,-0.014030208,0.011631756,-2.0,891.9773978346371,94,0,94,192.7691809497427,192.76918094353476,55.00000000000001-30.0-81.0-55.00000000000001-31.0,0.10763556,0.049252644,0.119469754
148,-0.013603359,0.0118785035,-2.0,856.1575896272968,62,0,62,193.5978881218017,193.59788811348068,46.0-22.0-71.0-34.0-28.000000000000004,0.31163138,0.21362141,0.19878319
149,-0.015364219,0.011834322,-2.0,970.3949572601455,79,0,99,192.91187123972395,192.9118712329162,47.0-33.0-66.0-47.0-34.0,0.08527834,0.030051826,0.11332446
