episode,mean_reward,max_reward,min_reward,min_cost,min_index,converged,timestep_final,consumption,generation,loads,losses,actor_losses,critic_losses
109,-0.015231104,0.010097433,-2.0,946.9034655353232,60,0,80,193.6717136919922,193.6717136838588,25.0-26.0-49.0-71.0-26.0,0.15690558,0.07490934,0.16658545
110,-0.015155069,0.011662524,-2.0,946.5730600192106,82,0,100,193.11165525154658,193.11165524528985,30.0-25.0-70.0-71.0-38.0,0.25547808,0.15477933,0.20416619
111,-0.014568792,0.011526274,-2.0,931.6598546024691,85,0,89,192.90293881833807,192.9029388118717,49.0-28.000000000000004-74.0-49.0-38.0,0.062420756,-0.015558399,0.15883449
112,-0.015032101,0.011719862,-2.0,949.7110227419146,70,0,108,193.2213864689013,193.22138646144305,36.0-31.0-55.00000000000001-63.0-28.000000000000004,0.03465537,-0.0241946,0.12071888
113,-0.017194917,0.011637747,-2.0,970.4666203836708,53,0,113,193.7590623776571,193.75906236886354,30.0-28.000000000000004-47.0-54.0-28.000000000000004,0.081604354,0.021307824,0.123629615
114,-0.016438598,0.011248947,-2.0,1005.3684490984704,57,0,114,193.53425711633497,193.53425710858176,28.000000000000004-33.0-57.99999999999999-44.0-30.0,0.050275847,-0.007265872,0.118028335
115,-0.0005417345,0.01128444,-0.0295341,919.5004339992944,52,0,124,193.77685853252615,193.77685852369171,33.0-28.000000000000004-55.00000000000001-46.0-23.0,0.008796191,-0.007931311,0.036263786
116,-0.014691584,0.0118785035,-2.0,908.8954833922442,64,0,80,193.47198554676908,193.47198553954587,28.000000000000004-31.0-71.0-52.0-22.0,0.2335741,0.13333336,0.20314033
117,-0.014183278,0.011360715,-2.0,898.2232459846563,53,0,58,193.87082972125665,193.87082971317227,26.0-23.0-70.0-41.0-26.0,0.35613838,0.24890245,0.21710587
118,-0.013640448,0.011593808,-2.0,852.3289887007096,65,0,102,193.50489864326693,193.50489863522404,36.0-25.0-60.0-63.0-22.0,0.124718875,0.055595804,0.14091322
119,-0.015092036,0.011799097,-2.0,898.6460248078641,50,0,111,193.92211758193415,193.92211757228972,36.0-23.0-49.0-49.0-25.0,0.10708816,0.043775264,0.12956336
120,-0.016039671,0.0118785035,-2.0,898.1444977272579,58,0,118,193.64590180837047,193.64590179993138,33.0-26.0-55.00000000000001-56.99999999999999-23.0,0.058429446,-0.0031655864,0.12611541
121,-0.016990766,0.0118785035,-2.0,1012.2194910849255,35,0,120,194.46428562689925,194.46428561448218,38.0-28.000000000000004-28.000000000000004-36.0-28.000000000000004,0.03418386,-0.020428324,0.112301014
122,-0.01982,0.011336478,-2.0,1043.4240350234904,19,0,119,195.17115048514904,195.17115047103334,26.0-26.0-26.0-28.000000000000004-25.0,0.05473044,0.0031877279,0.10622243
123,-0.0013921343,0.011754961,-0.031755164,977.3151847249519,40,0,124,194.23139951155082,194.2313995009942,33.0-23.0-42.0-36.0-31.0,-0.009038339,-0.02182017,0.02841108
124,-0.013391385,0.011587816,-2.0,838.3693804181645,95,0,95,192.86588293904,192.8658829326813,47.0-26.0-71.0-84.0-25.0,0.10498137,0.02594152,0.16089077
125,-0.015441643,0.0118785035,-2.0,965.9199918052013,46,0,112,193.8962903532849,193.89629034281998,44.0-33.0-42.0-33.0-23.0,0.09528939,0.03165934,0.13023287
126,-0.00022130483,0.011271118,-0.027069228,971.0671098621139,67,0,124,193.25205642801268,193.25205642026907,39.0-31.0-54.0-54.0-31.0,0.009450245,-0.0035370588,0.028941482
127,-0.014331004,0.0118785035,-2.0,909.5812812001736,74,0,76,193.24216650030854,193.24216649346985,38.0-25.0-74.0-49.0-34.0,0.2634686,0.19220978,0.14534956
128,0.0020639922,0.0118785035,-0.022636993,848.7506509815553,82,0,124,192.96040028038738,192.96040027257956,63.0-28.000000000000004-60.0-55.00000000000001-26.0,-0.001672851,-0.012935173,0.025266586
129,-0.013890121,0.011776925,-2.0,880.2218151244709,119,0,119,192.39125643599556,192.3912564301584,74.0-31.0-74.0-82.0-30.0,0.06332746,-0.0027265614,0.13487786
130,-0.013958336,0.0118785035,-2.0,885.946237832856,71,0,71,193.2847040271299,193.2847040196128,49.0-26.0-74.0-36.0-30.0,0.20853063,0.11772226,0.18450043
131,-0.0009219392,0.011776925,-0.028760057,1010.843712062329,20,0,124,195.12584066974682,195.12584065630807,25.0-23.0-33.0-28.000000000000004-25.0,-0.0066857715,-0.018965809,0.027256195
132,-0.013493989,0.011244061,-2.0,841.2416562713571,87,0,94,193.0343170798223,193.0343170734256,42.0-28.000000000000004-79.0-66.0-25.0,0.12302998,0.04716952,0.15450482
133,-0.015653346,0.011716994,-2.0,926.824616215122,100,0,124,192.61725179740426,192.61725179156983,50.0-33.0-74.0-71.0-33.0,0.056622043,0.003399789,0.10933292
